Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI
2014,10,3,9,0,81,834,523,175,8,180
2014,10,3,9,30,84,860,587,195,11,202
2014,10,3,10,0,87,878,639,184,5,187
2014,10,3,10,30,89,889,677,194,6,198
2014,10,3,11,0,90,895,700,239,16,251
2014,10,3,11,30,90,897,708,242,16,254
2014,10,3,12,0,90,894,701,237,14,247
2014,10,3,12,30,88,887,680,230,14,239
2014,10,3,13,0,87,875,644,202,7,207
2014,10,3,13,30,84,857,594,188,5,191
2014,10,3,14,0,80,833,533,155,0,155
2014,10,3,14,30,75,801,460,134,0,134
2014,10,3,15,0,69,758,379,99,0,99
2014,10,3,15,30,61,701,292,76,0,76
2014,10,3,16,0,50,625,202,50,625,202
2014,10,3,16,30,31,552,115,31,552,115
2014,10,3,17,0,0,0,0,0,0,0
2014,10,3,17,30,0,0,0,0,0,0
2014,10,3,18,0,0,0,0,0,0,0
2014,10,3,18,30,0,0,0,0,0,0
2014,10,3,19,0,0,0,0,0,0,0
2014,10,3,19,30,0,0,0,0,0,0
2014,10,3,20,0,0,0,0,0,0,0
2014,10,3,20,30,0,0,0,0,0,0
2014,10,3,21,0,0,0,0,0,0,0
2014,10,3,21,30,0,0,0,0,0,0
2014,10,3,22,0,0,0,0,0,0,0
2014,10,3,22,30,0,0,0,0,0,0
2014,10,3,23,0,0,0,0,0,0,0
2014,10,3,23,30,0,0,0,0,0,0
2014,10,4,0,0,0,0,0,0,0,0
2014,10,4,0,30,0,0,0,0,0,0
2014,10,4,1,0,0,0,0,0,0,0
2014,10,4,1,30,0,0,0,0,0,0
2014,10,4,2,0,0,0,0,0,0,0
2014,10,4,2,30,0,0,0,0,0,0
2014,10,4,3,0,0,0,0,0,0,0
2014,10,4,3,30,0,0,0,0,0,0
2014,10,4,4,0,0,0,0,0,0,0
2014,10,4,4,30,0,0,0,0,0,0
2014,10,4,5,0,0,0,0,0,0,0
2014,10,4,5,30,0,0,0,0,0,0
2014,10,4,6,0,11,125,15,6,0,6
2014,10,4,6,30,38,372,86,37,0,37
2014,10,4,7,0,52,549,173,72,5,74
2014,10,4,7,30,62,653,263,107,14,112
2014,10,4,8,0,69,722,350,141,21,150
2014,10,4,8,30,75,769,430,172,25,184
2014,10,4,9,0,79,802,501,193,20,204
2014,10,4,9,30,83,826,563,215,23,228
2014,10,4,10,0,85,843,612,203,10,210
2014,10,4,10,30,87,854,648,214,12,222
